event_id,severity,source_location,observed,action,status,rationale
"O012-ADV-0523","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2849-2853,2882-2887; reader:62-103#o012-fom-u005-def-degree/#o012-fom-u005-audit-degree-reduced-homology; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-001; FOM-U005-SRC-001] The source treats H_n(S^n) as Z and H_n(S^n minus {y}) as zero without restricting n; both claims fail at n=0 for ordinary homology.","define degree through reduced H_n and use reduced homology in the nonsurjectivity proof while preserving agreement with ordinary homology for n at least one","hypothesis_repaired_in_translation","makes degree and the later hairy-sphere argument valid uniformly on S^0"
"O012-ADV-0524","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2888-2893; reader:165-182#o012-fom-u005-proof-degree-properties and 270-277#o012-fom-u005-audit-two-simplex-gluing; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-002; FOM-U005-SRC-002] The source writes S^n as the disjoint union of two simplices although the sphere construction and the fundamental cycle require their boundaries to be glued.","state the boundary gluing explicitly and retain the oriented cycle Delta_1^n minus Delta_2^n","corrected_in_translation","restores the actual sphere model used by the reflection-degree calculation"
"O012-ADV-0525","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2921-2930; reader:239-260#o012-fom-u005-proof-degree-properties and 279-292#o012-fom-u005-audit-action-subgroup-type; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-003; FOM-U005-SRC-003] The free-action proof switches from S^n to an undefined X and concludes the literal inclusion G subset Z_2 although only an injective degree homomorphism has been constructed.","retain S^n and conclude G is isomorphic to im(deg), a subgroup of {+1,-1} isomorphic to Z_2","corrected_in_translation","keeps the action domain and subgroup conclusion correctly typed"
"O012-ADV-0526","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2937-2940; reader:304-317#o012-fom-u005-rem-hopf-theorem/#o012-fom-u005-audit-hopf-range; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-004; FOM-U005-SRC-004] The source states the converse degree-classification theorem without n at least one; on S^0 the two distinct constant maps both have reduced degree zero but are not homotopic.","restrict the Hopf theorem statement to n at least one and record the S^0 counterexample","hypothesis_repaired_in_translation","prevents a false zero-dimensional classification claim"
"O012-ADV-0527","P3","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2889,2922,2966,2980,3014,3022,3086; reader:137-260#o012-fom-u005-proof-degree-properties,328-410#o012-fom-u005-proof-hairy-sphere,412-418#o012-fom-u005-audit-source-typography,429-493#o012-fom-u005-def-local-degree,566-580#o012-fom-u005-rem-local-homeomorphism,722-784#o012-fom-u005-ex-power-map; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-005; FOM-U005-SRC-005] Seven deduplicated deterministic source defects are orientatoin, homomoprhism, a missing verb in which a homotopy, is a evidently, the duplicated the and broken clause at line 3014, homeormophism, and refelection; the line-2923 X error is tracked separately in O012-ADV-0525.","normalize the seven spelling and grammar defects without changing mathematical content","corrected_in_translation","records deterministic source corrections once without duplicating the substantive action-domain event"
"O012-ADV-0528","P3","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2911-2920; reader:262-268#o012-fom-u005-audit-fixed-point-drawing-marker; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005A-ADV-006; FOM-U005-SRC-006] The source contains a percent-drawing marker but publishes neither drawing code nor an external asset.","do not invent a source figure; retain the complete homotopy formula, nonvanishing check, and geometric line-segment explanation","clarified_in_translation","preserves exact source closure while keeping the fixed-point argument independently readable"
"O012-ADV-0529","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2984-3074; reader:429-564#o012-fom-u005-def-local-degree/#o012-fom-u005-fig-local-degree/#o012-fom-u005-proof-local-degree-independence/#o012-fom-u005-audit-local-degree-typing/#o012-fom-u005-audit-local-degree-range/#o012-fom-u005-omission-pr12,582-720#o012-fom-u005-prop-local-to-global/#o012-fom-u005-audit-local-global-formula/#o012-fom-u005-proof-local-to-global/#o012-fom-u005-audit-local-global-proof; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-PR-12; FOM-U005-SRC-007] The local-degree definition and proof write f(y)^(-1), use i at most n instead of m, fail to choose V as a target neighborhood giving valid maps of pairs, use an undefined restriction, silently rely on H_n(S^n)=Z at n=0, overload k_i as both a map and an integer, use the delimiter macro del instead of degree, and omit compatible orientations, neighborhood-choice independence, and excision typing needed by the local-to-global sum.","restrict the construction to n at least one, choose valid pair neighborhoods, define the local square through transported lambda_i, prove choice independence by a common refinement and naturality, type the complete central network with iota_i, p_i, F_*, j, q_i, and q_y, align orientation generators, replace del by local degree, and supply the complete local-to-global argument","proof_completed_in_translation","closes FOM-PR-12 with every map, generator, choice, dimension hypothesis, and summand identity explicitly typed"
"O012-ADV-0530","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3076-3121; reader:722-823#o012-fom-u005-ex-power-map/#o012-fom-u005-audit-power-map/#o012-fom-u005-rem-piecewise-degree and 1057-1140#o012-fom-u005-mcheck-005/#o012-fom-u005-sol-005/#o012-fom-u005-mcheck-006/#o012-fom-u005-sol-006; reviewed snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[FOM-U005-SRC-008] The power-map example treats the identity map as a singular simplex, sends z to 0 when k=0, gives the circular false factorization f_k=f_(-1) composed with f_k, chooses V=S^1 minus {1} although y=1 must lie in V, leaves a construction TODO, and assigns degree to an interval stretching without a valid local orientation argument; the final piecewise remark also omits hypotheses guaranteeing finite locally homeomorphic fibers.","use the standard singular cycle, the constant value 1, the factorization f_k=f_(-1) composed with f_(-k) for k below zero, a small target arc and angular coordinates, and an explicit affine-on-thirds lift whose fibers and signed local contributions are finite","corrected_in_translation","makes all integer cases maps S^1 to S^1 and turns the local-degree computation into a valid finite-fiber argument"
"O012-ADV-0531","P2","pre-admission Unit005 canonical snapshot 2d1d3a4b14ad1e1a343103942574e978d46a56c1f46fee0b047ed36fd6067f76:reader:777-783#o012-fom-u005-mastery; resolved reader:825-829#o012-fom-u005-mastery in snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[O012-FOM-U005-INT-P2-001] The assembled mastery introduction first said six checks follow and immediately said three follow although F5.1 through F5.6 were present.","remove the stale three-check paragraph in the deterministic assembler and regenerate the canonical unit","resolved_before_admission","restores the exact six-prompt six-hint six-solution census"
"O012-ADV-0532","P2","pre-admission Unit005 canonical snapshot 2d2f19b97ec4fbd7fd866bb5295f7cdecef3a512c4cc4c4e0b0f383e38b44d89:reader:420#o012-fom-u005-local-degree,458#o012-fom-u005-fig-local-degree,445-446,479,502,508#o012-fom-u005-omission-pr12,587; resolved snapshot ad6e31291e3df97b81f7e5a30144ca27157f907291e74f4d49c09a0620487075","[O012-FOM-U005-INT-P2-002] The pre-admission unit used undefined provenance values edition-original-navigation and source-semantic-reflow, omitted edition-original on the source-omission block, and used pemetaan pasangan instead of admitted O012-TERM-0243 peta pasangan.","use source-derived plus a separate semantic-reflow rendering marker, mark the omission edition-original, and normalize all four map-of-pairs occurrences to peta pasangan","resolved_before_admission","prevents invented provenance or rights classes while preserving the admitted technical vocabulary"
