path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved,suffix_exact
backend/artifacts.jsonl,186,151136,ee14599a3e8a83aa889eedb61b1770868e14bf2d0a8d65ae83676530fd79ba64,3,189,153754,7294792526f75a1ea2409f797fa25c28694e115c95541387482602447e6ba646,true,true
backend/assets.jsonl,79,57842,1f07222801810cfb2b8834127ca6c5acfb599ae634866ca3bd5a46d71b63a8fd,8,87,64692,1df40f8f6ca4f2fbfbe8a7b924a68a153713a20a4eebe1d014d8fb04669945f7,true,true
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,true,true
backend/concepts.jsonl,468,147798,bc307993763f45d72915b60e952dcd024c32a2542ba1b2ed3537dc69d9f4eb6a,15,483,152695,720d96a10a3c2abebab164e2181486743ef99efb50c6ef419faefbf528b8ead3,true,true
backend/corrections.jsonl,546,570659,0756090db9f5df30dc68fafd864ea295640483d725ca6c219fa7a49b38fff665,18,564,594720,bd961fad5d83e96fec6ef83caa8447e2e5f282c603fd4983d79b5b4b54049fbb,true,true
backend/qa.jsonl,158,87136,956f8647851b24ce1ad40d4a69283329196c7b0142c82c32b7c6a348a20d2a79,4,162,88999,da5c09949d53c4f77ca0c4089d99ca6ba178bdc4b7a463eb8bf68a55e9853e19,true,true
backend/relations.jsonl,763,320668,32af96c9af327afaf0f95fcaedba1ac87b38d580e52068f1e1a1998beb0d554e,21,784,329688,1aea5c4f3e619718bda4c065f9d70d3281b4b35bcd712e8c98fcfbcf7509fefa,true,true
backend/rights.jsonl,101,91432,7c0bc9457f0dac117c0a57b571eeb3617f1efc2c4148f1e2c816b8978750570f,2,103,93018,212673ced3907e59f8a38603f1c625a263a95656908c656a86e0d881b77f93b6,true,true
backend/segments.jsonl,1857,2983950,9c1c8577148487a6a0c86ddb92b8bb5bc36e802fa4cd885e0b5c962ae917de3a,72,1929,3130165,6078880c58c6b3194e874c85b4f2716b5436f0559f607f1b7551cd5140ffa376,true,true
backend/terms.jsonl,461,303641,ecd5c38288b850f4ae52c7c4847abc29d1f1f69363622b0d160ae46d907df87b,15,476,315218,4b82f9d582ba747829373a7935fcc3cae56b96fd6b7486969ebb6d54cf927c50,true,true
backend/units.jsonl,1887,3137274,31489809c3cd735dd62951585644d2cf2bb5de3548966800f2973d538ca6f347,72,1959,3286326,e2855fe4bb13ce55f48b29bd7d3279d5db7023ef6207fd07bf7b98385d5ddb63,true,true
