path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved,suffix_exact
backend/artifacts.jsonl,171,138011,a00faf7b551c78877ac3ccb63bea6c41acfb99b44650b7252d3ff712f82f30bf,6,177,143337,6452e6190d2505913d546a1b956b1acebcafdc45af3e535840b02fd323cd426f,true,true
backend/assets.jsonl,39,25764,6e42327b00c646ab51244617b4134ccc3ab485d9a6ed0958f021b09f5c34e437,14,53,37270,03091c88d8276bf834e9a39aefccf6c68e285e5747f77027f4e4598f2e322d0e,true,true
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,true,true
backend/concepts.jsonl,399,125910,519471339231312fbf1212c6715fcba8ecbd80bda78fc8093efbfc9557eee063,15,414,130574,ee995d610ddc86d3b61a436be851b1063055a1dcb4b0f75eaad136a2705a710d,true,true
backend/corrections.jsonl,456,450915,c472b154d819accbaf3112faef219abe44144d2e25d74cbf2882b3e8682c7a74,42,498,499984,6bc8c0a3e49f943aaa9fd4ce060da4b9247458c9ad329bd51ef25343bd64341c,true,true
backend/qa.jsonl,142,79219,80774625c28219f47197f1052bf0c6e9e9f037bc5742d29cd69f1bb470409e33,4,146,81358,be3b1a0ad285ba7d3ab8ded44caffcd935da859117e0d9eabc062b6b7e18cf88,true,true
backend/relations.jsonl,598,246923,84e3eacd1aa9494520b9209884e5dea24af327802ad097f42997ac23b74902c6,57,655,272700,72db0a89c3b09bae0559af3189b35cd51062600f160e1ac37f72173cf845f9ce,true,true
backend/rights.jsonl,93,85068,ba42ccf15296173d6f6f7f120bc12799865336e040602c2fc864c729f3f3c17b,2,95,86669,68d7a7a5bfebad6414a6a6b7761aca29d3f28498b0a6b4457e660915123d5880,true,true
backend/segments.jsonl,1508,2249492,4a1b83ec9f62eda12a665eede822b72f3629722d8a87007b71ddf2f6ad4ed22f,125,1633,2494755,dce882c74e5ff52fd9a94a5a034b2aa0f90d2b7e7f407ee80cff08a48161e4a9,true,true
backend/terms.jsonl,392,251976,c019c3ef89ebec9a14a7d2aa85e3bacbe149938b9a147b3c09cf333fccc1e091,15,407,262803,bada6c6904eedfdbd5f215ea2d88e68dc326ea1aa5ac41e2cf33e739d0c47594,true,true
backend/units.jsonl,1538,2382471,1158a33c29e6542b98ed773eaf8016e80d7a5b0a54adfaad89da334e1828e2df,125,1663,2635662,15b9062f5b5e943ec85e724ab8b189318052bf1c1f51dff357ae0dcf4831b3ab,true,true
