path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved
backend/artifacts.jsonl,145,115514,ac0633eb616f2d0bd412bfb076a482d6ef6a402683d35da67bf6c1ed290ea40e,3,148,118081,75ca44ea07393c83d2cf57f50d8c8db7944921099f8ab43f64efbc166d714e0d,true
backend/assets.jsonl,27,16679,aa569a900426a9e2cfd56777f3e52f07b35a1a72f211847bafd71ec638043462,1,28,17295,7f8953ab04264df0c9ee63db7e277f2b7e9e126fcb5514fcb3ad6eb142d72a68,true
backend/authority.jsonl,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,0,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,true
backend/concepts.jsonl,325,102250,0ce28594cd511c1a20aff74053b7c74c6c4c6a0505c7c8c5804dd7acd2dae77d,8,333,104854,645061fd18b6ff32c1d9c773508259e97ca0b2fd8cbf1ec8fc22403e82b43acc,true
backend/corrections.jsonl,332,327054,40791f1db8da9ba81083bad0bb4ac183094c3151b9007bb34e5fc637a1790893,13,345,339810,9ddf73f800001c6f1c5f6b1e5a0fe2e1f33483101ea8855c106370976cbdba0b,true
backend/qa.jsonl,119,67471,7b90c07af1561b6356a3249f396a97aaf10265989f4d7ba2b1493f87bac60b93,3,122,68974,177448acf95ac6a0988825fccf5b8d25288720b92f3234982acfb59e97915efb,true
backend/relations.jsonl,397,162048,62f67c2ede76bcd24e9ad87db7968dd92649aba6e284c4829042941dd7ea8a50,28,425,173541,fe2485035d5b488adede6d1926f334c3f41a7d57f36af2315e1bf64249a79b1b,true
backend/rights.jsonl,71,65630,7e54a0f51dd951aecadbc3767173308dc02c12ada6c121b9703c9ec2fb7f2ac7,3,74,68380,47db4fd8e4d817368d00cf732de25b44163dead640b84292628f2a164a6ebfae,true
backend/segments.jsonl,1075,1428116,d47404ea94dfa7347fbf6f6e0e0e8c5f4fb60e2634c066b87967a4468fff644a,62,1137,1553154,8ef04b73e87221da393f3dacdb5600c62dc3bd6dfe379f648b9498e795a69529,true
backend/terms.jsonl,318,197648,dda9013d863bc39ec81f9936167ad24d0cfa2ebba6de0aa2c768743dc09b8503,8,326,203570,61f88694434a122038ce7f26fd1adef4c3ec4f145bf0f88466ba1b3ab1e62f8b,true
backend/units.jsonl,1100,1522772,7fe9d4abfae9389db7cb99240b553d62b66144086c3f2097e9f64d5b2fe14318,63,1163,1654838,df7a5ad97b5e6ea3551b8bb353e8a93620061e3c7219e656d0b5c3484d233fbf,true
