physical_page,logical_page,role,temporary_png_path,render_dpi,width_px,height_px,bytes,sha256,visual_status,retained_after_qa,notes
482,5,predecessor_transition,tmp/pdfs/ca02-ca03-visual-qa/page-482.png,160,1323,1871,385745,6b7867353ffed7b5018d4c8a363398f67fefba63f58f4d50e139b305540e7193,PASS,false,"Frozen hint-layer final page; content and footer remain complete before the CA02 transition."
483,1,ca02_page_1,tmp/pdfs/ca02-ca03-visual-qa/page-483.png,160,1323,1871,298807,ff58faa57e35b7a15d65765b92f8905ffc0e3023ec07ebed62aeb133e9b8bc88,PASS,false,"CA02 title, scope, and opening exercise are centered, legible, and unclipped."
484,2,ca02_page_2,tmp/pdfs/ca02-ca03-visual-qa/page-484.png,160,1323,1871,243308,69b04997e07ee6fdedd674a41fa5ffadab22fce10c082e58ba98dea31f50dc3b,PASS,false,"CA02 mathematics and prose remain legible with intact margins and footer."
485,3,ca02_page_3,tmp/pdfs/ca02-ca03-visual-qa/page-485.png,160,1323,1871,236850,8adc71c0c14b937f4b8204681125d35b0c485865d60c5b8c7e34225f9b2aa92e,PASS,false,"CA02 exercise, hint, and solution boundaries remain clear and complete."
486,4,ca02_page_4,tmp/pdfs/ca02-ca03-visual-qa/page-486.png,160,1323,1871,280169,edd67eb198d30667fb52db5d471ab3a0040ac1378395d345150395b148bda5c0,PASS,false,"CA02 formulas and explanatory prose fit without overlap or missing glyphs."
487,5,ca02_page_5,tmp/pdfs/ca02-ca03-visual-qa/page-487.png,160,1323,1871,275280,d2080d7e77263bbb6d8259d6295526f192db206e5d21d694288252b93b961782,PASS,false,"CA02 continues naturally across the page with readable hierarchy and spacing."
488,6,ca02_page_6,tmp/pdfs/ca02-ca03-visual-qa/page-488.png,160,1323,1871,310753,04c5e26592bdc0333ed561c65e8e286d57e573d8679359080cdf6068074d55d6,PASS,false,"CA02 long mathematical developments remain inside the text block."
489,7,ca02_page_7,tmp/pdfs/ca02-ca03-visual-qa/page-489.png,160,1323,1871,210057,623e195c2161ae01b3ff0021cc8b22c8c3e138c95fdfa2888109639289ec4862,PASS,false,"CA02 page remains nonblank, balanced, and free of clipping or collision."
490,8,ca02_page_8,tmp/pdfs/ca02-ca03-visual-qa/page-490.png,160,1323,1871,309286,c5d710e9ae095ef21ceb67857bf3861a92b329d4fbdcd672a5b295b8554b0661,PASS,false,"CA02 final problems and solutions remain complete and readable."
491,9,ca02_page_9,tmp/pdfs/ca02-ca03-visual-qa/page-491.png,160,1323,1871,213604,ba7481828611b90126a389dbdde266b59dc51b4cc8591df784677856dc064613,PASS,false,"The CA02 coverage table begins cleanly and remains legible across the page break."
492,10,ca02_page_10,tmp/pdfs/ca02-ca03-visual-qa/page-492.png,160,1323,1871,264511,c69b7baecb7a51801c22611348c7ec1eb9885cac53e41b9a087d6c49fc2abab6,PASS,false,"The CA02 coverage table and closing source note finish cleanly."
493,1,ca03_page_1,tmp/pdfs/ca02-ca03-visual-qa/page-493.png,160,1323,1871,258538,b27d21dbaf7de23e65974c0cfa44083b34c3ded9be11c9fbb124bbdc1183321d,PASS,false,"CA03 title, scope, provenance, and opening exercise are centered and legible."
494,2,ca03_page_2,tmp/pdfs/ca02-ca03-visual-qa/page-494.png,160,1323,1871,308478,f2b13bbf584a0574978e4ee748cd4f23df4d39eb6ad37891e0d3af27e059684c,PASS,false,"CA03 mathematics and prose remain intact without clipping or overlap."
495,3,ca03_page_3,tmp/pdfs/ca02-ca03-visual-qa/page-495.png,160,1323,1871,271367,40d88e07cdec8e152409998e52660ec00a55240ec169a255e008ab9ce5d09541,PASS,false,"CA03 exercise, hint, and solution boundaries remain clear."
496,4,ca03_page_4,tmp/pdfs/ca02-ca03-visual-qa/page-496.png,160,1323,1871,273327,b45875849c741f14ecaca867385537e5c3ab99e0b7cf3868e69dd7b41f8dea65,PASS,false,"CA03 formula layout and paragraph flow remain readable and centered."
497,5,ca03_page_5,tmp/pdfs/ca02-ca03-visual-qa/page-497.png,160,1323,1871,300125,6dea82b729aff4e0b5d31adfd82ea93aef13b1b24cb2dad8d33decde39f8ea1e,PASS,false,"CA03 long derivations remain within page bounds with embedded glyphs intact."
498,6,ca03_page_6,tmp/pdfs/ca02-ca03-visual-qa/page-498.png,160,1323,1871,250577,aae48b295d90b81db9311160843bb77392b55415901a942f8a5dabc6b25bbb80,PASS,false,"CA03 continues without blank space caused by missing content or broken flow."
499,7,ca03_page_7,tmp/pdfs/ca02-ca03-visual-qa/page-499.png,160,1323,1871,281297,c068b3d59ba1f99fcb6ca1d4e6cecbac14596de3a5d23ef84e6a162368e30aab,PASS,false,"CA03 final solutions remain complete, legible, and unclipped."
500,8,ca03_page_8,tmp/pdfs/ca02-ca03-visual-qa/page-500.png,160,1323,1871,188080,47e274a9701dd1b3848690cdbeeecb4337ea52226dadc5643fc1b24e078e5e76,PASS,false,"The CA03 coverage table begins cleanly and remains readable across the page break."
501,9,ca03_page_9,tmp/pdfs/ca02-ca03-visual-qa/page-501.png,160,1323,1871,109424,01a7df9418f0513cbcedd6651e608787026d8c7b0781e0a6b5165a78558a6922,PASS,false,"The CA03 table, source note, and final footer close the reader without truncation."
