path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved,suffix_exact
backend/artifacts.jsonl,183,148535,ae95dc9cd8ebb6f33279ace4ef28c81c472db2954770e76bc2d72bc731eaab5a,3,186,151136,ee14599a3e8a83aa889eedb61b1770868e14bf2d0a8d65ae83676530fd79ba64,true,true
backend/assets.jsonl,63,45706,5001df3b077e60745596cdf0ffa5068d1068e50f62078e09809e7766edecd11a,16,79,57842,1f07222801810cfb2b8834127ca6c5acfb599ae634866ca3bd5a46d71b63a8fd,true,true
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,true,true
backend/concepts.jsonl,453,143026,e0b60a3a9bd3a6513f163f275e9489cda564c8fb8dc54d1cf1704950b3b4608d,15,468,147798,bc307993763f45d72915b60e952dcd024c32a2542ba1b2ed3537dc69d9f4eb6a,true,true
backend/corrections.jsonl,533,552716,b436acf68527bda6d6888c88e6e75924c9a8d9908e9f1b93c5b5f758efa64a09,13,546,570659,0756090db9f5df30dc68fafd864ea295640483d725ca6c219fa7a49b38fff665,true,true
backend/qa.jsonl,154,85273,3b60145456011dc92c74c3555b19e1194f8611e3a77c1bcad80d5349e39eaa57,4,158,87136,956f8647851b24ce1ad40d4a69283329196c7b0142c82c32b7c6a348a20d2a79,true,true
backend/relations.jsonl,738,309605,666962b7bdbb16c3e06358a211e87b7e61e7cd8b2a6c7a5a951da3314dd9c609,25,763,320668,32af96c9af327afaf0f95fcaedba1ac87b38d580e52068f1e1a1998beb0d554e,true,true
backend/rights.jsonl,99,89846,44a9f25e914e99c5c0ae6f9b70cd8f4cea085f75b696b42357508129f0dd54bc,2,101,91432,7c0bc9457f0dac117c0a57b571eeb3617f1efc2c4148f1e2c816b8978750570f,true,true
backend/segments.jsonl,1802,2872453,62d21d73140d6b47c1433e125c5d8a7a4bdb1f6af924a206c26123a1af3bad1d,55,1857,2983950,9c1c8577148487a6a0c86ddb92b8bb5bc36e802fa4cd885e0b5c962ae917de3a,true,true
backend/terms.jsonl,446,292449,81b8475cf74762ea5f83d47384df718f2cf0166b71c89fe10c8e1685736d0d8f,15,461,303641,ecd5c38288b850f4ae52c7c4847abc29d1f1f69363622b0d160ae46d907df87b,true,true
backend/units.jsonl,1832,3021991,c21eaf690d1dd9eb58d23cbc1a7e0685bf6ac77e48f982626bc0d22360d4e4e7,55,1887,3137274,31489809c3cd735dd62951585644d2cf2bb5de3548966800f2973d538ca6f347,true,true
