path,prefix_records,prefix_bytes,prefix_sha256,records_added,suffix_bytes,suffix_sha256,final_records,final_bytes,final_sha256
backend/artifacts.jsonl,234,193675,1535c6096f79fcd84878dca9d918e16e130571fa1f5423a210db55e3b62a782f,10,8608,b3b8ff5eb4f97493f1ad9e09bcbe27b151e33902654592696a073fd375103bf2,244,202283,d27dd4fe316a6b9534e51bf1daeeaf896b5ac9c821f356caec0a1f1091598de2
backend/assets.jsonl,87,64692,1df40f8f6ca4f2fbfbe8a7b924a68a153713a20a4eebe1d014d8fb04669945f7,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,87,64692,1df40f8f6ca4f2fbfbe8a7b924a68a153713a20a4eebe1d014d8fb04669945f7
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869
backend/concepts.jsonl,513,162561,5b921e4bb055fa53cd7f017d5d72b43a0122e5a31b5b8ec760b6efc4ca7e7fcc,12,3995,00b00928298ce79e23077806e664064a77a560b88b726e637a8e33dbc8c7fcf0,525,166556,7341113181f69875b94b7af28f87cf4f89f5c9214717a5b0d90c8847021d5b87
backend/corrections.jsonl,564,594720,bd961fad5d83e96fec6ef83caa8447e2e5f282c603fd4983d79b5b4b54049fbb,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,564,594720,bd961fad5d83e96fec6ef83caa8447e2e5f282c603fd4983d79b5b4b54049fbb
backend/qa.jsonl,198,109899,1a1eb9f45ea992496a536a0f9bac0c439bfda9d6e10de1a292329727372e0a54,7,4268,f67d0f1f45b2fb2095ae28c42890ab85d97e519ab5b170432f55f29484479b97,205,114167,0ae19f5952bf7379b3cc9b34f78cb2cbeace031ce674d5f92dee46310fea0047
backend/relations.jsonl,1216,555459,0504529956092a8d78f334f6cdf2dbceaa5a319ac09f812d1ccfa09d9b4f2cf0,61,31427,8d4089498d94bdb7dbfa05c587634b403ed20e9f9927be17e49e703b831e557d,1277,586886,77818ff3dd3784bd87dc1c433ea7339f740e4b02dbeafe65a469ac8bd82813ac
backend/rights.jsonl,110,105027,73fdb740a3867d2cf74c6c84c9cce4f99b8feef39ccf5d5b900425cc46cdf872,1,1650,70e3c8a1844800f7802d2a2a654abde31f95fd503de05f71c5c3bd53a42f1c42,111,106677,9bac45c25c9ab6b30b2d3b76f59283da37f4420698c253f21b60cfd1ef75d23a
backend/segments.jsonl,2115,3480791,24d76e94204df4d87100ce4394e4c534c0cbdf45897d6f29c9ef0bc66418de67,25,49515,052ae8d2c10e9a4e4bdb1b11c477893ddf023c76d720488dc3ad00d51a102677,2140,3530306,2e0cd4cf947030c8ee1163f122774d3cc65f480471bbae33fc9e66645a7f3d4d
backend/terms.jsonl,506,338679,394f877bcd0e0e537cdf09d1634185425d3fa2af6ba2c4fd955ff392dfc79214,12,9657,74e41fd0a960a9eb48a020dbba076a1fbff3168aa98ad7e812518c66140f9be3,518,348336,2f2526e4fb143983fe924a022a2986ff5b2ac9c0a8a4ef0e0726f964a81e595a
backend/units.jsonl,2145,3670508,93fc6a9bde31abf13d909e2dad66ad18d57738c326706897fd271c80fec70ecc,25,53745,7d2cc03cf21ab9e9b3824d5cb574c5536d32c83d8bdeaf6aed97a3de82fc3972,2170,3724253,5e9ad14ea2aafee540b5fb22d792a26d5fda5b8833c5a193b2b427bf1b99eeab
