path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved
backend/artifacts.jsonl,160,128377,dcafca44e0fdd9daea5534f9cb6e12ddc85d66e83657cf7905f0c76287d99356,6,166,133601,e1cc3611df5e84e465846d64623af7107709d93681049bcdae5ad01b314bc41f,true
backend/assets.jsonl,34,21271,70623b74c22df743708785dd6a213d8086dd4280db983ea14b8f08075b3e8ee6,3,37,23720,a9cc6a83e0e7c771044f0984fefb32f3c0ee409b428bb626b043f6bff7264367,true
backend/authority.jsonl,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,2,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,true
backend/concepts.jsonl,364,114998,0ba79f3eb7f33775e2fc1e9897de40652522ebb426688617521f226cf5ee159b,28,392,123698,e83c6047f4f934044bff8bb1a057d2db2ef4d878fad6a6ce9a54d1c490a194bf,true
backend/corrections.jsonl,407,397287,39c7fbc05989e947f4de409ef43b50f55534fecb04d6c662501401c3e295d0d8,18,425,416934,f0a124da975557b3871e5ce8fbe7226c595ff06a3357b4c5f8e13352e7038c54,true
backend/qa.jsonl,134,75118,2cdfe9c1a159e2d6b1c80e158b16a991814983f07d704c30776c2ccc54108706,4,138,77180,98449c7de7856384cced4d4ed0bd5c0c01ea0bf7b292f679ba52ae8ccac83ce0,true
backend/relations.jsonl,533,218443,cc56f5be615b567baf381505a883b6dd2344f8eaf1318f3f0ec4f5b4d70c418e,31,564,232018,01047e8dd954fcbc0f8fbefaf8ae78415f1278d601de3ec733f4c20c9e895101,true
backend/rights.jsonl,86,79588,2540e545302261e342f8a41211295e7c435e870ad52e267485d4a66f5b439d0e,5,91,83493,e81261979962c93827e0199126b7164dda25063f2700918697dc9ede54517053,true
backend/segments.jsonl,1326,1912371,054699f1e9d902de23f5dff26d3ecee7b7e1da502fb971468bb17975c7ca65eb,87,1413,2094230,6a6789c021494f6099c1e1b5b59edd9045fb08688b3ececda5d2f53000fb5a8c,true
backend/terms.jsonl,357,226725,27c19bbacd1fd21fc371b29c64cf7e3b1f37bae6472e3670697830a98279c67f,28,385,246829,c29a3f45f4e29b6741dc2fe6b70ea421f1edf1000a50e276d544aa731045fc8d,true
backend/units.jsonl,1356,2036780,53b5f8d6a688a71bc7f38f80bda670141109b974742dec7e9428ad43de0f495e,87,1443,2222571,ba9a464c3eb2ba995eca5b78e870c2d57f58896b86f94b54b40f8538106b954c,true
