path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved,suffix_exact
backend/artifacts.jsonl,177,143337,6452e6190d2505913d546a1b956b1acebcafdc45af3e535840b02fd323cd426f,3,180,145936,9aaa2a823b1b5747081948e6131e36f03e28ddd22e604fb36f7be1001fbe0f14,true,true
backend/assets.jsonl,53,37270,03091c88d8276bf834e9a39aefccf6c68e285e5747f77027f4e4598f2e322d0e,8,61,44168,4017d02b4dc8c40577d09b01438908fd291273623d0e7490521a56f5760cf6a5,true,true
backend/authority.jsonl,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,0,6,4374,84c622f56dbbd5ba379361245ecfe07bc79c9f4fd6b18ba21b82b5f545211869,true,true
backend/concepts.jsonl,414,130574,ee995d610ddc86d3b61a436be851b1063055a1dcb4b0f75eaad136a2705a710d,19,433,136682,e6de4c97fa43fd753157a665c7206f9a8cbe3eaa3159bfc423afc2f351c2a0fc,true,true
backend/corrections.jsonl,498,499984,6bc8c0a3e49f943aaa9fd4ce060da4b9247458c9ad329bd51ef25343bd64341c,24,522,534044,5885a6375d4f9b8952f27642f47a0c2615a4aaa5f8f1dcc0976210b8fe23806d,true,true
backend/qa.jsonl,146,81358,be3b1a0ad285ba7d3ab8ded44caffcd935da859117e0d9eabc062b6b7e18cf88,4,150,83298,19e53f8c8507cd91ba4e0352d57fac792920c0385555513ea6a20592e916b656,true,true
backend/relations.jsonl,655,272700,72db0a89c3b09bae0559af3189b35cd51062600f160e1ac37f72173cf845f9ce,53,708,296800,699d81f5e04ca3243b2450e1845f8dd668785ecc1090bb9a4ad2835e17a01c41,true,true
backend/rights.jsonl,95,86669,68d7a7a5bfebad6414a6a6b7761aca29d3f28498b0a6b4457e660915123d5880,2,97,88270,82805c95a8cb20a2d1b82f8a9a1f39e5769876d4e608064d4d1915ea282a2d69,true,true
backend/segments.jsonl,1633,2494755,dce882c74e5ff52fd9a94a5a034b2aa0f90d2b7e7f407ee80cff08a48161e4a9,117,1750,2763398,6e7c86912f88f3851bbd8d459cb324a21e14fae10b4b20b7f76a4e287e9c2cef,true,true
backend/terms.jsonl,407,262803,bada6c6904eedfdbd5f215ea2d88e68dc326ea1aa5ac41e2cf33e739d0c47594,19,426,277358,b851b7b07fc9bdd3d4eb4864934d5eee5682f7d2a50854d4ac1c2eb2aa30e645,true,true
backend/units.jsonl,1663,2635662,15b9062f5b5e943ec85e724ab8b189318052bf1c1f51dff357ae0dcf4831b3ab,117,1780,2909971,d488eb464eae4a09d557e1628fd8b2f721373acf31b818eb9f1e6036562d2b74,true,true
