path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved
backend/artifacts.jsonl,148,118081,75ca44ea07393c83d2cf57f50d8c8db7944921099f8ab43f64efbc166d714e0d,3,151,120648,c16f1deaa3844a19ece5c112a4a556b6a31c1fe6a8065f1773aa123bdd0f5311,true
backend/assets.jsonl,28,17295,7f8953ab04264df0c9ee63db7e277f2b7e9e126fcb5514fcb3ad6eb142d72a68,1,29,17911,260fbded514ca70a5b54866bfc2b26cc770612876984cc81aae47516b8592449,true
backend/authority.jsonl,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,0,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,true
backend/concepts.jsonl,333,104854,645061fd18b6ff32c1d9c773508259e97ca0b2fd8cbf1ec8fc22403e82b43acc,8,341,107533,bf5b7bd06811e74e9d5139dfec4903e8f3429a98939fa106e45a3def519db473,true
backend/corrections.jsonl,345,339810,9ddf73f800001c6f1c5f6b1e5a0fe2e1f33483101ea8855c106370976cbdba0b,16,361,354746,ffa733a7ac19745aa9d4ef67c98911e011a2ebc51e4353fa40fc1b337b9c0023,true
backend/qa.jsonl,122,68974,177448acf95ac6a0988825fccf5b8d25288720b92f3234982acfb59e97915efb,3,125,70471,fc02b08c7ec19dba9654db5aa9d2bd2cfe9b855a222d5764a06fc93bffc2d319,true
backend/relations.jsonl,425,173541,fe2485035d5b488adede6d1926f334c3f41a7d57f36af2315e1bf64249a79b1b,24,449,183555,e8a0831badaebbe47523f92ac1949f2266f544ad3baede0f35967d1764e959bf,true
backend/rights.jsonl,74,68380,47db4fd8e4d817368d00cf732de25b44163dead640b84292628f2a164a6ebfae,3,77,71149,5f4a0f6de1866c04f0d56d7f7ed508f4c41364c9626d357e94e6f4a135002767,true
backend/segments.jsonl,1137,1553154,8ef04b73e87221da393f3dacdb5600c62dc3bd6dfe379f648b9498e795a69529,46,1183,1643547,2c0dacca32d6e92257c43b2d5c270ede72e257ff5d1dfde8b54e5858e9ac4602,true
backend/terms.jsonl,326,203570,61f88694434a122038ce7f26fd1adef4c3ec4f145bf0f88466ba1b3ab1e62f8b,8,334,209753,c25a3834bed5b9a57624aae9c1d546a24ad08b4ae397e92e8a8e5f6b3d357735,true
backend/units.jsonl,1163,1654838,df7a5ad97b5e6ea3551b8bb353e8a93620061e3c7219e656d0b5c3484d233fbf,47,1210,1750960,936f41c32c69ba73881038e39b9e33bb4baab39ac9dd5ad56409c370309eeda0,true
