role,page,path,bytes,sha256,width_px,height_px,status
contact_sheet,363-376,qa/renders/fomberg-unit-002-final/contact-sheet.png,3397136,d60fdfe2b411de34b66ecaa4a7230b1765b298404add03b904d5999e5ea7f122,1520,2148,PASS
title,1,qa/renders/fomberg-unit-002-final/title-001.png,147219,46e3b7a6606b1dff7a037b104e59000829668af4f0bce14aeb1c07a829fb1333,993,1404,PASS
unit001_transition,362,qa/renders/fomberg-unit-002-final/transition-362.png,179436,22fa39903f400f09bfb1794d6f1db127b323f2d9979e5fab1f16719c4e3a17af,993,1404,PASS
fomberg_unit002,363,qa/renders/fomberg-unit-002-final/page-363.png,273445,2210efc165e34d809d3f95f0d1bef53d575d9a95067c9a8e28c0a863b3f3aa70,993,1404,PASS
fomberg_unit002,364,qa/renders/fomberg-unit-002-final/page-364.png,156453,e02903f556bd680b6787541daefed7b15942fddacd0d9eed9ef9622e464594e8,993,1404,PASS
fomberg_unit002,365,qa/renders/fomberg-unit-002-final/page-365.png,216087,4cf93a6f88395dba700ab8a3c4c9838b62c5a3d56e54150758a165cd5a08cfb6,993,1404,PASS
fomberg_unit002,366,qa/renders/fomberg-unit-002-final/page-366.png,145213,8acea45da0a0e4a4792ace42be4845b29e6338d8726a01b98aa9c75d8981e3c0,993,1404,PASS
fomberg_unit002,367,qa/renders/fomberg-unit-002-final/page-367.png,283260,75b90292f804e472e886d3ef79a4c6844c04cde2b875e1bef4dd0bb5f8cde636,993,1404,PASS
fomberg_unit002,368,qa/renders/fomberg-unit-002-final/page-368.png,233327,135d5afc0c483986c00b1855cafffa10a15c69fe3c9916b7f3ece93053156580,993,1404,PASS
fomberg_unit002,369,qa/renders/fomberg-unit-002-final/page-369.png,229621,75bd9c13e951df5cdd1d27660e5a753edab266cbcc41a1553fcdcfe6db215249,993,1404,PASS
fomberg_unit002,370,qa/renders/fomberg-unit-002-final/page-370.png,192524,52fb080c7fc31a6bcfa9b2c1c3408741edd870ad966a8d6acbb301bb72939f5d,993,1404,PASS
fomberg_unit002,371,qa/renders/fomberg-unit-002-final/page-371.png,214898,9cecc219828e0341a3f573094a9c5b014b600039f3f9054ce91807a29cd5182f,993,1404,PASS
fomberg_unit002,372,qa/renders/fomberg-unit-002-final/page-372.png,202592,ed705500013e7f99b5239dd83367f99f21ba428ddf0c19a2526bb662af2ab061,993,1404,PASS
fomberg_unit002,373,qa/renders/fomberg-unit-002-final/page-373.png,231396,0dcea140ccb83a227c2dfa9e8fce7cb7b1e31ce583e1d2d46032e1b877522e54,993,1404,PASS
fomberg_unit002,374,qa/renders/fomberg-unit-002-final/page-374.png,208373,baf9c6ffa76ee4113a615739698c6e8d9a9b98e231d97775aa3842a21b0fa922,993,1404,PASS
fomberg_unit002,375,qa/renders/fomberg-unit-002-final/page-375.png,192775,a875aa2e0e4ca1202000cab57344f5a89c1af9c5ec4e88dc13b3e4b095523abd,993,1404,PASS
fomberg_unit002,376,qa/renders/fomberg-unit-002-final/page-376.png,147436,955af817fda9bf55e6807fbdcd0603c30024880574a830b91d156f624c40f41f,993,1404,PASS
