path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved
backend/artifacts.jsonl,157,125783,11f677dc347348b8a91387e232b7eb18cbada0387d4eddda4f95a113ed241dc1,3,160,128377,dcafca44e0fdd9daea5534f9cb6e12ddc85d66e83657cf7905f0c76287d99356,true
backend/assets.jsonl,32,19939,bd81863dd4eff456734abada1f2416727b70a5c54c7e9662a5cb2bac041884bb,2,34,21271,70623b74c22df743708785dd6a213d8086dd4280db983ea14b8f08075b3e8ee6,true
backend/authority.jsonl,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,0,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,true
backend/concepts.jsonl,354,111822,edd155b71045f574d4195af88d021c82a2c530e46fc6b61046276a783649f041,10,364,114998,0ba79f3eb7f33775e2fc1e9897de40652522ebb426688617521f226cf5ee159b,true
backend/corrections.jsonl,397,387613,82145855c9dec1c14f1be23bdf36394f0249798b7722c9ebd65afefd955ecfb4,10,407,397287,39c7fbc05989e947f4de409ef43b50f55534fecb04d6c662501401c3e295d0d8,true
backend/qa.jsonl,131,73522,10c3b5955c4c5a5f4f93d18a360705c0ee74286467d09e1549432c21b8c06c17,3,134,75118,2cdfe9c1a159e2d6b1c80e158b16a991814983f07d704c30776c2ccc54108706,true
backend/relations.jsonl,504,206282,5a12459d1af20f6ba363f93c10104dedf714c24b8484c6f1b2a76004ddd2474f,29,533,218443,cc56f5be615b567baf381505a883b6dd2344f8eaf1318f3f0ec4f5b4d70c418e,true
backend/rights.jsonl,83,76753,6ab37eedf396adbd01ba4be763896d9a4926a0fc87af97d8ac2ad2022c3d35e1,3,86,79588,2540e545302261e342f8a41211295e7c435e870ad52e267485d4a66f5b439d0e,true
backend/segments.jsonl,1279,1829093,13f59fd6db9e768c4d4b1a249bfcf86ccdb4312df5a74fadb53922266d985bdc,47,1326,1912371,054699f1e9d902de23f5dff26d3ecee7b7e1da502fb971468bb17975c7ca65eb,true
backend/terms.jsonl,347,219627,d16fc5166ee92ea654eb43b644dda4cb7acc59054194654b8e85b7bcdd3a1aa9,10,357,226725,27c19bbacd1fd21fc371b29c64cf7e3b1f37bae6472e3670697830a98279c67f,true
backend/units.jsonl,1308,1948111,19b50f4cee0cc968b538052ffaf87d7b2dc2199b64c44e1a12c4e4800dc99e04,48,1356,2036780,53b5f8d6a688a71bc7f38f80bda670141109b974742dec7e9428ad43de0f495e,true
