path,role,bytes,sha256
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/AUTHORITY_TREE_MANIFEST.csv,authority-tree-inventory,9321,4674035139313e2b07631325eb5ed4eaf7ac0aee542f048f7f959715af8f75a4
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/AUTHORITY_BUILD_MANIFEST.json,authority-build-manifest,13263,fbf9d36c423308124b4269b9b4e5170689a3fbadaab797939313646ce40ed976
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-overlay/commath.sty,cc0-build-overlay,1346,524c17aef50ed58686c9ed0b0b274e7f2ccdb35380869fef9c66ce3a120a6d19
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-overlay/README.md,overlay-rights-documentation,1487,ff657e89fd146b5f1bbbfd4b1d27db09ef202c9cfe45424524d7e21b2f7e21fa
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/algebraic_topology-baseline.pdf,baseline-build-evidence,664609,f0f8f815423dbdc3b368b48a5972bfc62be87ae8b5c4bfcd1b7a74b8871417ff
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/algebraic_topology.fls,baseline-build-evidence,56211,239002d4ccb5b82aa01785f0721f1a998370d128ad95e67aee6dbdc406cde1e5
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/algebraic_topology.log,baseline-build-evidence,55338,223cff498f30a05254eae41c275b34adb10ee9931facc3846f1eb52a454cf970
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/BUILD_RESULT.json,baseline-build-evidence,1660,00db6559c962d7a4d26e967d9b68f237178fedece341b7fcfda0f5f9a931a840
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/pdfinfo.txt,baseline-build-evidence,597,4f12bae0fa53f6ac19297b574ab29fbdd7d4663cd17a745e74edd14abe628828
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/pdflatex-pass-1.log,baseline-build-evidence,31942,8f3d076c8274ba212e0fa738063322dabf157bc41414dd0a9e58b72842c5ca01
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/pdflatex-pass-2.log,baseline-build-evidence,26541,474a9526a5d9efdba8e80765bf7dac569fa96d008e4089dd5911b44522a34aff
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/pdflatex-pass-3.log,baseline-build-evidence,26541,474a9526a5d9efdba8e80765bf7dac569fa96d008e4089dd5911b44522a34aff
authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/build-baseline/tex-input-manifest.csv,baseline-build-evidence,17061,3572ef63bf01d6907e94f6e319e5e8d5f369f6147292ee675032c521b19e2b0f
qa/FOMBERG_AUTHORITY_BUILD_GATE_QA.json,machine-qa-receipt,3402,110ae5058f254f780812fa12e51e73cc6d1f1e6e03a319dbdfb18ecedf79fe71
qa/FOMBERG_AUTHORITY_BUILD_GATE_VISUAL_QA.md,visual-qa-receipt,2698,bdc4609eedb03aa30fc1841f2f65415e034189cbae8f4e022615b59d2b34ccb7
scripts/build-fomberg-authority-baseline.ps1,deterministic-builder,11111,a093d1a218788ce335998fff649708e644bfa3bf0e8b12eb6c559f6172563dd4
scripts/audit-fomberg-authority-build-gate.py,authority-build-auditor,23087,e2548550c01506b4483388dcd29e59691692cf6ec286949acff0dba4640bd79f
