path,prefix_records,prefix_bytes,prefix_sha256,records_added,final_records,final_bytes,final_sha256,prefix_preserved
backend/artifacts.jsonl,151,120648,c16f1deaa3844a19ece5c112a4a556b6a31c1fe6a8065f1773aa123bdd0f5311,3,154,123215,dcbe6a233ae2150054b6337fcbcde5a8429f36e13376fdc1e5cfe89319181934,true
backend/assets.jsonl,29,17911,260fbded514ca70a5b54866bfc2b26cc770612876984cc81aae47516b8592449,1,30,18527,33e5e928c08a45e019c5647baf76afc49febf66c91fe20bcb52ebaa903f1693d,true
backend/authority.jsonl,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,0,4,2721,f21af26912520ab34b38dff0e927ed46a546dbe5d318da0dc133e58330d0e368,true
backend/concepts.jsonl,341,107533,bf5b7bd06811e74e9d5139dfec4903e8f3429a98939fa106e45a3def519db473,6,347,109564,b65dbfd31c351d73b270eaf3054df7101a5cfac462a530492888fe6b1a845ae8,true
backend/corrections.jsonl,361,354746,ffa733a7ac19745aa9d4ef67c98911e011a2ebc51e4353fa40fc1b337b9c0023,17,378,370217,bca78b345bd76599e3f62f79a41e4827754fa03b7c2fc63e207282651e71e27a,true
backend/qa.jsonl,125,70471,fc02b08c7ec19dba9654db5aa9d2bd2cfe9b855a222d5764a06fc93bffc2d319,3,128,71958,f288d793f7d9a2823cc266d3f1c6a6764647127ea0b941d80a6205d8cff06001,true
backend/relations.jsonl,449,183555,e8a0831badaebbe47523f92ac1949f2266f544ad3baede0f35967d1764e959bf,27,476,194744,f9e351b32fdf3397e5b5cb47af3039da94585f3712369c69514ec46673b25f36,true
backend/rights.jsonl,77,71149,5f4a0f6de1866c04f0d56d7f7ed508f4c41364c9626d357e94e6f4a135002767,3,80,73939,71f0dd345afdff972f389987a504dc8392a4e4d17d850dbb21f219053f515a9b,true
backend/segments.jsonl,1183,1643547,2c0dacca32d6e92257c43b2d5c270ede72e257ff5d1dfde8b54e5858e9ac4602,47,1230,1736383,639756c98657d171553f581ec8d252dff48f99ce0b1411d7adc94fbbac56791d,true
backend/terms.jsonl,334,209753,c25a3834bed5b9a57624aae9c1d546a24ad08b4ae397e92e8a8e5f6b3d357735,6,340,214594,f36b329242860f92bdd827594ca8f3bedc140daabc8dbfe5f895534a9de9dfa5,true
backend/units.jsonl,1210,1750960,936f41c32c69ba73881038e39b9e33bb4baab39ac9dd5ad56409c370309eeda0,48,1258,1849591,6261024f22eb6b2e90d45f07ed0108fc009a6ebfb2d415e88afce3e411524a3d,true
