term_id,source_term,id_ID,scope,status,note
"O012-TERM-0455","CW complex","kompleks CW","algebraic_topology","admitted","standard name; disclose kompleks seluler as a synonym at first occurrence"
"O012-TERM-0456","cellular complex","kompleks seluler","algebraic_topology","admitted","reader-facing synonym of kompleks CW; do not confuse seluler with biological usage"
"O012-TERM-0457","cell","sel","CW_complexes","admitted","an open CW cell unless the text explicitly says closed cell"
"O012-TERM-0458","open cell","sel terbuka","CW_complexes","admitted","image of the interior of a characteristic disc under its characteristic map"
"O012-TERM-0459","cellular structure","struktur seluler","CW_complexes","admitted","a chosen CW decomposition on a topological space"
"O012-TERM-0460","topological graph","graf topologis","CW_complexes","admitted","abstract graph realized as a one-dimensional CW complex"
"O012-TERM-0461","Petersen graph","graf Petersen","graph_theory","admitted","finite nonplanar graph that is nevertheless an abstract one-dimensional CW complex"
"O012-TERM-0462","planar embedding","pembenaman planar","graph_theory","admitted","embedding of a graph in the plane whose edge arcs meet only at shared vertices"
"O012-TERM-0463","real projective space","ruang projektif real","algebraic_topology","admitted","RP^n is the quotient of nonzero R^(n+1) by nonzero scalar multiplication"
"O012-TERM-0464","complex projective space","ruang projektif kompleks","algebraic_topology","admitted","CP^n has one CW cell in each even dimension from zero through 2n"
"O012-TERM-0465","attaching word","kata pelekatan","CW_complexes","admitted","oriented word in one-cells followed by the boundary of a two-cell"
"O012-TERM-0466","direct-limit topology","topologi limit langsung","topology","admitted","for a CW filtration it is the weak topology determined by all skeleta"
"O012-TERM-0467","one-dimensional CW complex","kompleks CW satu-dimensi","CW_complexes","admitted","a CW complex whose cells have dimension at most one; every abstract graph has this structure"
"O012-TERM-0468","CW filtration","filtrasi CW","CW_complexes","admitted","nested sequence of skeleta or subcomplexes used to attach cells dimension by dimension"
"O012-TERM-0469","Hopf map","peta Hopf","algebraic_topology","admitted","the quotient S^(2n-1) to CP^(n-1) used as the top-cell attaching map for CP^n"
