term_id,source_term,id_ID,scope,status,note
"O012-TERM-0470","cellular homology","homologi seluler","algebraic_topology","draft_for_unit_007","homology of the cellular chain complex; identify naturally with singular homology only after FOM-PR-14"
"O012-TERM-0471","cellular chain","rantai seluler","homological_algebra","draft_for_unit_007","an element of a cellular chain group; do not confuse with a cell decomposition"
"O012-TERM-0472","cellular chain group","grup rantai seluler","homological_algebra","draft_for_unit_007","C_n^CW(X)=H_n(X^(n),X^(n-1)) with an oriented-cell basis"
"O012-TERM-0473","cellular chain complex","kompleks rantai seluler","homological_algebra","draft_for_unit_007","the degree-lowering complex formed from successive CW-skeleton pairs"
"O012-TERM-0474","cellular boundary map","pemetaan batas seluler","homological_algebra","draft_for_unit_007","d_n=q_(n-1) composed with the connecting map; distinguish the algebraic boundary from a topological boundary"
"O012-TERM-0475","incidence number","bilangan insidensi","algebraic_topology","draft_for_unit_007","signed degree of an attaching-map component from an n-cell to an (n-1)-cell"
"O012-TERM-0476","incidence coefficient","koefisien insidensi","algebraic_topology","draft_for_unit_007","the integer coefficient multiplying an oriented (n-1)-cell in a cellular boundary"
"O012-TERM-0477","cellular homology theorem","teorema homologi seluler","algebraic_topology","draft_for_unit_007","natural identification of cellular-chain homology with singular homology"
"O012-TERM-0478","compact orientable surface","permukaan kompak terorientasi","algebraic_topology","draft_for_unit_007","retain compact as a topological property and terorientasi as an orientation choice"
"O012-TERM-0479","canonical double cover","penutup ganda kanonis","covering_spaces","draft_for_unit_007","the antipodal quotient S^(n-1) to RP^(n-1)"
"O012-TERM-0480","zero homomorphism","homomorfisma nol","homological_algebra","draft_for_unit_007","reserve for algebraic maps; a based map of spaces is instead homotopik-nol when homotopic to the constant map"
"O012-TERM-0481","cellular approximation","aproksimasi seluler","CW_complexes","draft_for_unit_007","replacement of a map by a homotopic cellular map when functorial cellular chains are required"
"O012-TERM-0482","exponent sum","jumlah eksponen","combinatorial_group_theory","draft_for_unit_007","signed total of occurrences of a generator in an attaching word; equals the corresponding one-cell incidence coefficient for a one-vertex two-complex"
"O012-TERM-0483","filtered colimit","kolimit tersaring","category_theory","draft_for_unit_007","used for homology over the increasing CW skeleta; explain concretely as a direct limit before using the term"
"O012-TERM-0484","filtration quotient","hasil bagi filtrasi","homological_algebra","draft_for_unit_007","the successive pair or quotient X^(n)/X^(n-1) underlying cellular chains"
